initial_population,ini_metabolism,ini_vision,ini_sugar,step,rate_survive,avg_sugar,dev_sugar,rate_increasable
400,1,1,5,31,0.8775,45.97720798,28.18945181,0.743589744
400,1,1,10,36,0.88,59.50284091,30.98800417,0.778409091
400,1,1,10,36,0.86,57.88662791,32.25565598,0.755813953
400,1,1,5,31,0.8325,49.06306306,26.93520089,0.795795796
400,1,1,5,31,0.8825,47.36827195,26.7479887,0.798866856
400,1,1,5,31,0.8625,46.9884058,28.21625138,0.750724638
400,1,1,10,36,0.88,60.96022727,29.3206773,0.815340909
400,1,1,5,31,0.8675,47.46397695,27.41261996,0.766570605
400,1,1,15,41,0.8775,72.25925926,34.02559572,0.794871795
400,1,1,15,41,0.84,68.57142857,36.91354505,0.741071429
400,1,1,15,41,0.875,71.5,34.22751704,0.788571429
400,1,1,15,41,0.8425,73.77744807,32.94305642,0.81305638
400,1,1,20,46,0.875,83.94285714,37.7237302,0.797142857
400,1,1,20,46,0.855,84.66666667,37.5619137,0.801169591
400,1,1,20,46,0.8875,83.72957746,37.39928243,0.797183099
400,1,1,20,46,0.8825,82.101983,38.07738564,0.779036827
400,1,1,20,46,0.8675,84.48414986,37.47263598,0.806916427
400,1,1,25,51,0.8775,97.13105413,40.25135212,0.814814815
400,1,1,25,51,0.8625,96.63478261,40.91433132,0.808695652
400,1,1,25,51,0.8925,95.24089636,40.72438476,0.803921569
400,1,1,25,51,0.8575,95.67346939,41.56497867,0.798833819
400,1,1,30,26,1,57.4075,30.35886354,0.6675
400,1,1,30,26,1,59.035,28.8934396,0.7
400,1,1,30,26,1,57.4525,30.3060867,0.6775
400,1,1,30,26,1,57.5525,30.44115477,0.6825
400,1,1,30,26,1,57.655,30.35703954,0.6825
400,1,1,25,51,0.85,95.09117647,43.29054525,0.776470588
400,1,2,5,31,0.9025,51.11357341,25.07280197,0.819944598
400,1,2,5,31,0.89,52.03932584,24.46252952,0.837078652
400,1,2,5,31,0.9025,51.19944598,25.58686946,0.819944598
400,1,2,5,31,0.9075,51.19559229,25.26572116,0.812672176
400,1,2,10,36,0.905,61.64640884,30.59858688,0.787292818
400,1,2,5,31,0.9225,50.91056911,24.97433731,0.818428184
400,1,2,10,36,0.9275,63.19946092,27.89290522,0.827493261
400,1,2,10,36,0.9075,63.91735537,27.91084467,0.831955923
400,1,2,10,36,0.93,62.93010753,27.62446388,0.827956989
400,1,2,10,36,0.905,62.78453039,29.73852782,0.803867403
400,1,2,15,41,0.915,75.75136612,30.82093108,0.830601093
400,1,2,15,41,0.8975,75.61002786,32.03940503,0.82729805
400,1,2,15,41,0.9125,75.77808219,31.70143273,0.830136986
400,1,2,15,41,0.9025,76.15789474,30.84954529,0.842105263
400,1,2,20,46,0.9225,86.92682927,35.22655805,0.815718157
400,1,2,15,41,0.925,75.21891892,31.02098545,0.832432432
400,1,2,20,46,0.9025,90.2299169,31.4996436,0.872576177
400,1,2,20,46,0.8875,89.51267606,35.18589427,0.833802817
400,1,2,20,46,0.91,88.18406593,34.70539798,0.832417582
400,1,2,20,46,0.8875,90.41971831,33.2709499,0.85915493
400,1,2,25,51,0.9125,100.2054795,37.38828007,0.835616438
400,1,2,25,51,0.9075,100.3829201,39.4775191,0.820936639
400,1,2,30,26,1,63.9025,27.09433985,0.775
400,1,2,30,26,1,62.3925,27.77051399,0.7375
400,1,1,15,41,0.8875,71.09014085,34.49519395,0.785915493
400,1,1,10,36,0.8875,58.61690141,31.69968091,0.76056338
400,1,2,30,26,1,63.025,27.88778759,0.765
400,1,1,10,36,0.8925,61.28851541,28.53439098,0.823529412
400,1,2,25,51,0.89,101.9550562,37.23096095,0.851123596
400,1,2,30,26,1,61.97,29.31992915,0.7325
400,1,2,25,51,0.915,98.9863388,39.18459761,0.816939891
400,1,2,30,26,1,62.4525,28.07718941,0.73
400,1,3,5,31,0.9475,51.72559367,21.89171654,0.849604222
400,1,2,25,51,0.8975,98.07799443,42.17865091,0.777158774
400,1,3,5,31,0.9375,52.48533333,20.65425008,0.874666667
400,1,3,5,31,0.9175,53.10354223,20.51016444,0.877384196
400,1,3,10,36,0.94,64.42021277,24.66671746,0.864361702
400,1,3,15,41,0.9325,76.56836461,26.15213486,0.871313673
400,1,3,15,41,0.915,76.75956284,29.55917406,0.838797814
400,1,3,10,36,0.95,63.89736842,24.10974236,0.860526316
400,1,3,10,36,0.93,64.60752688,24.01878751,0.865591398
400,1,3,10,36,0.94,64.18882979,23.58573541,0.864361702
400,1,3,15,41,0.94,76.77925532,26.04819524,0.880319149
400,1,3,15,41,0.9325,76.62734584,27.41355921,0.860589812
400,1,3,15,41,0.95,76.03157895,26.45270689,0.868421053
400,1,3,20,46,0.9425,88.66578249,28.96787879,0.877984085
400,1,3,20,46,0.935,88.43850267,30.72196887,0.863636364
400,1,3,20,46,0.935,88.42780749,30.48656148,0.855614973
400,1,3,20,46,0.9375,89.02133333,28.92391963,0.872
400,1,3,25,51,0.9425,100.2997347,33.85965755,0.859416446
400,1,3,20,46,0.95,87.51052632,29.96836317,0.855263158
400,1,3,25,51,0.935,99.69251337,34.24817324,0.852941176
400,1,3,30,26,1,65.19,23.80642276,0.8125
400,1,3,30,26,1,66.46,23.24627655,0.8225
400,1,3,25,51,0.9375,101.3973333,31.50357748,0.877333333
400,1,3,30,26,1,64.4475,26.04665649,0.7875
400,1,3,25,51,0.9175,101.0544959,35.23856673,0.844686649
400,1,3,25,51,0.95,100.75,28.06030304,0.9
400,1,3,30,26,1,65.315,24.65746848,0.8
400,1,3,30,26,1,65.61,24.95776683,0.81
400,1,4,5,31,0.96,52.16666667,17.32181448,0.90625
400,1,4,5,31,0.96,51.81510417,18.05849737,0.893229167
400,1,4,5,31,0.9525,51.38582677,18.99960411,0.87664042
400,1,4,5,31,0.96,51.671875,17.9205278,0.893229167
400,1,4,5,31,0.9725,50.97172237,17.43017653,0.894601542
400,1,4,10,36,0.9725,62.46272494,19.41082634,0.894601542
400,1,4,10,36,0.97,62.85051546,20.44791264,0.891752577
400,1,4,10,36,0.9475,64.04221636,21.01960061,0.889182058
400,1,4,10,36,0.965,63.11917098,19.54551918,0.901554404
400,1,4,10,36,0.95,62.96842105,23.3623302,0.852631579
400,1,3,5,31,0.935,52.53208556,20.27843153,0.877005348
400,1,4,15,41,0.9575,76.60835509,18.41573801,0.939947781
400,1,4,15,41,0.9525,75.42257218,22.73861577,0.897637795
400,1,3,10,36,0.935,65.34759358,23.64974609,0.879679144
400,1,3,5,31,0.935,52.08823529,20.87586753,0.863636364
400,1,4,15,41,0.9675,75.1498708,20.4193921,0.912144703
400,1,4,15,41,0.9825,74.54452926,21.04086589,0.905852417
400,1,4,15,41,0.975,74.42564103,23.12864123,0.884615385
400,1,4,20,46,0.9525,86.84514436,26.22543279,0.881889764
400,1,4,20,46,0.965,86.94300518,24.58501001,0.893782383
400,1,4,20,46,0.9675,86.82687339,24.29585566,0.899224806
400,1,4,20,46,0.96,87.55729167,24.0216797,0.903645833
400,1,4,30,26,1,66.66,20.88731913,0.85
400,1,4,25,51,0.9575,99.12793734,31.14157551,0.869451697
400,1,4,25,51,0.975,98.57179487,26.56434637,0.9
400,1,4,30,26,1,67.31,18.93423257,0.8725
400,1,4,30,26,1,67.8725,17.8071328,0.885
400,1,4,25,51,0.9625,98.85714286,27.24776094,0.896103896
400,1,4,30,26,1,66.96,19.61172991,0.87
400,1,4,30,26,1,66.2875,21.01091359,0.8475
400,1,5,5,31,0.9875,50.20506329,13.83040771,0.929113924
400,1,5,5,31,0.9725,50.68123393,15.8958006,0.910025707
400,1,5,5,31,0.9775,50.42966752,13.71877021,0.930946292
400,1,5,5,31,0.9875,49.89367089,13.91959636,0.924050633
400,1,5,5,31,0.975,50.72051282,13.58080983,0.933333333
400,1,5,10,36,0.9775,62.23785166,13.88846411,0.94629156
400,1,5,10,36,0.985,62.44923858,17.46967454,0.921319797
400,1,5,10,36,0.9875,62.03797468,15.04717036,0.936708861
400,1,5,10,36,0.9825,61.97455471,16.07950159,0.926208651
400,1,5,10,36,0.985,61.96446701,16.62882492,0.921319797
400,1,4,20,46,0.975,86.44615385,25.00623928,0.894871795
400,1,5,15,41,0.9875,74.07088608,19.91453919,0.916455696
400,1,5,15,41,0.9825,73.69974555,19.38417788,0.916030534
400,1,5,15,41,0.985,73.95685279,18.0960307,0.92893401
400,1,4,25,51,0.9675,98.79586563,28.0279687,0.888888889
400,1,4,25,51,0.9475,99.61741425,28.2378187,0.89182058
400,1,5,15,41,0.98,74.07908163,19.55126702,0.913265306
400,1,5,15,41,0.9625,74.45194805,19.87587531,0.911688312
400,1,5,20,46,0.9775,85.25831202,22.68383082,0.902813299
400,1,5,20,46,0.98,85.58928571,18.89822486,0.93622449
400,1,5,20,46,0.9825,84.95928753,21.27560574,0.913486005
400,1,5,20,46,0.98,85.03061224,19.45048357,0.926020408
400,1,5,25,51,0.9825,97.0178117,21.64538383,0.926208651
400,1,5,25,51,0.98,96.76530612,22.73265102,0.915816327
400,1,5,30,26,1,67.4925,14.56038997,0.9125
400,1,5,30,26,1,67.24,15.06751389,0.9075
400,1,5,25,51,0.9725,97.73264781,21.5485663,0.928020566
400,1,5,30,26,1,67.7575,13.42364255,0.925
400,1,5,30,26,1,67.0575,14.85094509,0.9
400,1,5,30,26,1,67.72,13.6364027,0.9175
400,1,6,5,31,0.9875,49.48607595,11.22436995,0.951898734
400,1,6,5,31,0.995,49.75879397,13.88662661,0.932160804
400,1,6,5,31,0.99,49.63636364,11.86865208,0.944444444
400,1,6,5,26,1,42.5475,10.10807483,0.945
400,1,6,5,31,0.995,49.96482412,14.24413862,0.93718593
400,1,5,20,46,0.9775,85.35549872,21.06117985,0.915601023
400,1,6,10,36,0.995,61.04773869,12.27231869,0.954773869
400,1,6,10,36,0.995,60.90703518,11.77213979,0.957286432
400,1,6,10,36,0.9975,61.05764411,12.59134206,0.954887218
400,1,6,10,36,0.995,61.02763819,13.62494157,0.942211055
400,1,6,10,36,0.9975,60.32330827,12.2506582,0.949874687
400,1,5,25,51,0.985,97.11675127,19.77356741,0.939086294
400,1,6,15,41,0.995,73.09547739,13.16743291,0.962311558
400,1,5,25,51,0.98,97,25.15222199,0.900510204
400,1,6,15,41,0.99,73.10353535,16.088423,0.941919192
400,1,6,15,41,0.995,72.65326633,14.39862073,0.949748744
400,1,6,15,41,0.995,73.07788945,13.04464195,0.959798995
400,1,6,20,46,0.9975,84.50125313,16.76303583,0.947368421
400,1,6,20,46,0.99,84.8030303,15.56957731,0.954545455
400,1,6,20,46,0.9925,84.98740554,18.85624358,0.937027708
400,1,6,20,46,0.9975,84.54135338,17.22020168,0.944862155
400,1,6,20,46,0.9975,84.49122807,14.50816087,0.959899749
400,1,6,30,26,1,66.81,13.02432273,0.9125
400,1,6,25,51,0.985,97.03045685,20.13476444,0.944162437
400,1,6,30,26,1,67.6725,10.86532936,0.9375
400,1,6,30,26,1,67.89,10.33028009,0.9575
400,1,6,25,51,0.99,97.44444444,16.81543728,0.964646465
400,1,6,15,41,0.9875,73.28860759,14.61807333,0.949367089
400,1,6,30,26,1,67.43,10.42217128,0.9475
400,1,6,25,26,1,62.9625,10.4459988,0.9475
400,1,6,30,26,1,67.7075,10.39914898,0.9425
400,1,6,25,51,0.9925,96.59697733,19.0750456,0.944584383
400,1,7,5,26,1,42.3475,7.457599024,0.9725
400,1,7,5,26,1,42.5025,6.943740532,0.9775
400,1,7,5,26,1,42.5325,7.24812265,0.9775
400,1,7,5,26,1,42.7725,7.349543061,0.975
400,1,7,5,26,1,42.2925,6.479343987,0.98
400,1,7,10,26,1,47.8575,8.037642876,0.9725
400,1,7,10,26,1,47.7975,7.975620355,0.975
400,1,7,10,26,1,47.7525,8.501584328,0.9675
400,1,7,15,26,1,52.565,6.585529439,0.98
400,1,7,15,26,1,52.33,5.819429904,0.985
400,1,7,15,26,1,52.695,7.079001034,0.9775
400,1,7,15,26,1,52.6175,6.969046763,0.9775
400,1,7,20,26,1,57.735,6.157887132,0.9875
400,1,7,15,26,1,52.6775,7.587649492,0.975
400,1,7,20,26,1,57.88,7.551036046,0.98
400,1,7,20,26,1,57.4625,6.610434051,0.98
400,1,7,10,26,1,47.6575,7.117713704,0.9775
400,1,6,25,51,0.9975,95.16541353,18.14632614,0.94235589
400,1,7,20,26,1,57.8875,8.489111041,0.9675
400,1,7,20,26,1,57.5075,7.620375256,0.9725
400,1,7,10,26,1,47.515,7.364466268,0.9725
400,1,7,25,26,1,62.58,6.855369445,0.9775
400,1,7,25,26,1,62.43,7.732047685,0.97
400,1,7,30,26,1,67.765,7.964191476,0.9725
400,1,7,25,26,1,62.3975,6.73817492,0.9775
400,1,7,30,26,1,67.7275,8.394606441,0.965
400,1,7,25,26,1,62.57,7.406229174,0.975
400,1,7,25,26,1,62.575,7.752394731,0.975
400,1,7,30,26,1,67.7575,8.392841785,0.97
400,1,8,5,26,1,42.555,5.336494207,0.9925
400,1,7,30,26,1,67.125,7.679310159,0.9675
400,1,8,5,26,1,42.1425,4.34446541,0.995
400,1,8,5,26,1,42.93,6.503525167,0.9925
400,1,8,5,26,1,42.69,5.607808734,0.99
400,1,8,10,26,1,47.515,4.986173866,0.995
400,1,8,10,26,1,46.985,4.555398351,0.9925
400,1,8,10,26,1,47.0975,4.996539529,0.99
400,1,7,30,26,1,67.5675,7.802733519,0.97
400,1,8,10,26,1,47.3475,4.761662243,0.9925
400,1,8,5,26,1,42.4775,4.517800355,0.995
400,1,8,15,26,1,52.6775,5.49672892,0.995
400,1,8,10,26,1,47.0575,4.810618346,0.9925
400,1,8,15,26,1,52.4975,5.499144955,0.99
400,1,8,15,26,1,52.4125,6.053424951,0.9875
400,1,8,15,26,1,52.7425,5.615606052,0.995
400,1,8,20,26,1,57.35,4.673017519,0.995
400,1,8,20,26,1,57.2775,4.273892739,0.995
400,1,8,20,26,1,57.1025,5.368336926,0.9875
400,1,8,20,26,1,57.595,5.644521819,0.99
400,1,8,25,26,1,62.3875,5.744549013,0.9875
400,1,8,25,26,1,62.65,4.968825118,0.995
400,1,8,25,26,1,62.54,5.180298131,0.9925
400,1,8,15,26,1,52.685,5.648942501,0.99
400,1,8,25,26,1,62.6975,6.106079287,0.99
400,1,8,30,26,1,68.0175,6.113151421,0.9925
400,1,8,20,26,1,57.48,5.310848593,0.9925
400,1,8,25,26,1,62.815,5.546411606,0.995
400,1,8,30,26,1,66.925,5.615443706,0.985
400,1,8,30,26,1,67.39,4.799530052,0.995
400,1,8,30,26,1,67.2,5.165918775,0.99
400,1,8,30,26,1,67.5025,3.942569389,1
400,1,9,5,26,1,41.7925,3.189808921,1
400,1,9,5,26,1,42.375,4.678042883,1
400,1,9,5,26,1,41.99,3.569559411,0.9975
400,1,9,5,26,1,42.1625,3.216669264,1
400,1,9,10,26,1,47.2875,3.804079561,1
400,1,9,10,26,1,46.7825,3.612175699,0.9975
400,1,9,10,26,1,47.32,4.023440092,0.9975
400,1,9,15,26,1,51.83,3.71693948,0.9975
400,1,9,5,26,1,41.865,2.992350314,1
400,1,9,15,26,1,52.06,3.139433086,1
400,1,9,10,26,1,46.8875,3.216474471,1
400,1,9,10,26,1,46.6825,3.387533351,0.9975
400,1,9,20,26,1,57.11,3.41056886,1
400,1,9,15,26,1,51.7025,3.524919345,0.9975
400,1,9,15,26,1,52.3,3.76036579,1
400,1,9,15,26,1,51.885,3.221446771,1
400,1,9,20,26,1,57.25,3.480342218,1
400,1,9,20,26,1,57.2575,4.00140248,1
400,1,9,20,26,1,57.2275,3.436607255,1
400,1,9,20,26,1,57.2275,3.527300437,1
400,1,9,25,26,1,61.975,3.787510805,0.9975
400,1,9,25,26,1,62.055,3.027356474,1
400,1,9,30,26,1,67.1825,4.228936451,0.9975
400,1,9,25,26,1,62.2275,3.605307109,1
400,1,9,30,26,1,67.065,3.929296812,0.9975
400,1,9,30,26,1,66.7775,3.597269049,0.9975
400,1,9,25,26,1,62.3325,4.074118291,1
400,1,9,30,26,1,67.0375,3.9146398,0.9975
400,1,9,25,26,1,61.7975,3.633800354,0.9975
400,1,9,30,26,1,67.0225,3.070923342,1
400,1,10,5,26,1,41.6575,2.682009823,1
400,1,10,5,26,1,42.17,3.513825183,1
400,1,10,5,26,1,42.7275,5.356769661,1
400,1,10,5,26,1,41.965,3.334903139,1
400,1,10,5,26,1,42.0325,3.098458465,1
400,1,10,10,26,1,47.345,3.931235369,1
400,1,10,10,26,1,47.08,3.163640554,1
400,1,10,10,26,1,46.6825,3.013202985,1
400,1,10,15,26,1,52.0025,3.584636355,1
400,1,10,15,26,1,51.905,2.908112411,1
400,1,10,10,26,1,47.135,3.376429429,1
400,1,10,10,26,1,46.72,2.934813935,1
400,1,10,20,26,1,56.69,3.021045645,1
400,1,10,15,26,1,52.2075,3.444430869,1
400,1,10,15,26,1,51.9175,3.394037784,1
400,1,10,15,26,1,51.94,3.191687198,1
400,1,10,20,26,1,56.8375,2.84892694,1
400,1,10,20,26,1,56.53,2.89656265,1
400,1,10,25,26,1,61.7575,2.990158251,1
400,1,10,20,26,1,56.63,2.690016817,1
400,1,10,20,26,1,56.645,3.13824736,1
400,2,1,5,31,0.6175,29.08502024,17.34902525,0.732793522
400,2,1,5,31,0.715,26.51048951,16.81994102,0.716783217
400,2,1,5,31,0.7225,27.01038062,15.5850009,0.733564014
400,1,10,25,26,1,62.145,3.693654384,1
400,1,10,30,26,1,66.75,2.910098225,1
400,1,10,25,26,1,62.32,4.004083129,1
400,1,10,25,26,1,61.6975,2.697997726,1
400,1,10,30,26,1,66.495,2.715402092,1
