step,initial_population,mean_ini_sugar,mean_ini_vision,mean_ini_metabolism,rate_survive,avg_sugar,dev_sugar,rate_increasable
28,15,13.33333333,5.533333333,2.133333333,0.933333333,53.21428571,40.02341348,0.571428571
27,11,18.63636364,5.909090909,1.909090909,0.818181818,53.77777778,39.87097245,0.666666667
29,9,20.33333333,6,2.666666667,0.666666667,63.5,38.89858609,0.666666667
26,42,11.95238095,4.952380952,2.404761905,0.738095238,49.87096774,38.14947963,0.64516129
28,22,15.68181818,5.227272727,2.545454545,0.818181818,55.16666667,37.97406236,0.666666667
26,6,16,4.833333333,2.5,0.666666667,54.5,37.36754385,0.75
29,69,14.89855072,5.884057971,2.695652174,0.666666667,50.06521739,37.28711554,0.608695652
29,38,15.73684211,5.210526316,2.342105263,0.815789474,48.22580645,37.26992503,0.548387097
28,37,16.32432432,5.756756757,2.702702703,0.756756757,52.67857143,37.14341931,0.642857143
29,76,16.31578947,5.473684211,2.210526316,0.723684211,62.63636364,37.02219736,0.745454545
29,140,15.42857143,5.235714286,2.435714286,0.75,52.5047619,36.85917165,0.619047619
28,9,15.66666667,6.555555556,2.777777778,0.666666667,40.33333333,36.76773948,0.5
29,27,19.96296296,6.074074074,2.703703704,0.703703704,48.52631579,36.71567697,0.578947368
29,118,15.05932203,5.669491525,2.644067797,0.703389831,49.43373494,36.66831981,0.56626506
28,25,15.4,5.6,2.24,0.84,58.66666667,36.60783158,0.714285714
29,45,16.77777778,5.422222222,2.555555556,0.711111111,54.71875,36.52947054,0.65625
29,41,17.48780488,5.463414634,2.219512195,0.829268293,60.02941176,36.39554193,0.705882353
29,49,14.73469388,5.346938776,2.632653061,0.734693878,49.44444444,36.28572678,0.611111111
29,199,15.09045226,5.728643216,2.417085427,0.768844221,52.99346405,36.1834683,0.673202614
29,76,15.86842105,5.157894737,2.355263158,0.828947368,55.85714286,36.0979211,0.666666667
29,137,15.30656934,5.540145985,2.583941606,0.737226277,47.41584158,36.07915391,0.574257426
29,99,15.23232323,5.474747475,2.575757576,0.727272727,48.77777778,35.95937544,0.597222222
29,231,15.91774892,5.437229437,2.471861472,0.714285714,51.87272727,35.83671704,0.636363636
29,142,15.1971831,5.866197183,2.387323944,0.746478873,55.28301887,35.80230232,0.679245283
29,74,15.36486486,5.554054054,2.540540541,0.783783784,48.5862069,35.6887296,0.568965517
28,72,13.65277778,5.236111111,2.5,0.736111111,48.9245283,35.65693862,0.660377358
29,157,15.33121019,5.834394904,2.598726115,0.72611465,50.66666667,35.420025,0.614035088
27,126,14.46825397,5.73015873,2.53968254,0.69047619,53.55172414,35.41736488,0.67816092
29,282,14.73758865,5.567375887,2.492907801,0.741134752,51.13875598,35.27985479,0.655502392
29,303,16.15841584,5.471947195,2.429042904,0.726072607,54.27727273,35.27466179,0.659090909
28,143,15.32867133,5.447552448,2.447552448,0.734265734,52.05714286,35.23542486,0.657142857
29,241,14.42323651,5.427385892,2.485477178,0.742738589,49.37988827,35.21540199,0.61452514
29,266,14.98120301,5.5,2.436090226,0.710526316,54.21164021,35.183526,0.687830688
29,140,14.87857143,5.55,2.45,0.721428571,55.15841584,35.1726407,0.673267327
29,105,17.07619048,5.295238095,2.571428571,0.761904762,54.225,35.17262133,0.6625
26,18,15.33333333,4.777777778,2.722222222,0.611111111,51.54545455,35.1692014,0.636363636
27,14,19.71428571,6.714285714,2.357142857,0.857142857,60.08333333,35.15539098,0.833333333
28,75,14.57333333,5.466666667,2.6,0.786666667,48.61016949,35.0064117,0.610169492
29,36,15.97222222,5.222222222,2.527777778,0.777777778,49.10714286,34.94475988,0.571428571
29,205,14.26829268,5.795121951,2.541463415,0.736585366,50.11258278,34.93947968,0.622516556
29,59,16.40677966,5.93220339,2.508474576,0.796610169,52.46808511,34.93213984,0.70212766
28,182,14.80769231,5.824175824,2.472527473,0.802197802,48.97945205,34.91654468,0.616438356
29,259,15.90733591,5.277992278,2.405405405,0.768339768,51.24120603,34.88584719,0.638190955
28,81,14.92592593,5.382716049,2.555555556,0.740740741,49,34.87750963,0.616666667
29,26,15.53846154,4.961538462,2.461538462,0.692307692,46,34.87119155,0.611111111
29,153,14.91503268,5.581699346,2.562091503,0.745098039,48.10526316,34.85046905,0.622807018
29,104,14.72115385,5.711538462,2.586538462,0.692307692,56.41666667,34.75740878,0.736111111
29,102,16.05882353,5.647058824,2.568627451,0.696078431,51.6056338,34.73387761,0.61971831
29,108,14.73148148,5.898148148,2.62962963,0.75,48.40740741,34.7184309,0.604938272
29,347,15.37752161,5.536023055,2.489913545,0.726224784,53.44444444,34.67850191,0.670634921
29,372,16.08870968,5.376344086,2.534946237,0.706989247,51.70722433,34.64280414,0.661596958
28,137,15.62773723,5.635036496,2.372262774,0.817518248,48.04464286,34.620826,0.651785714
29,282,15.62765957,5.421985816,2.439716312,0.719858156,54.11330049,34.61631233,0.684729064
